NO_OF_FRAMES	5500
NO_OF_CAMERAS	11
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-26, 18:32:39.510	442281.92392820
DATA_INCLUDED	6D
BODY_NAMES	karlax_bottompart	karlax_upperpart
BODY_FILTERS	No filter	No filter
karlax_bottompart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		karlax_upperpart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
190.15047	87.08971	952.77991	81.02064	77.18134	177.16551	0.60619	-0.22159	-0.95423	0.20085	-0.01097	-0.20352	-0.97901	0.97508	-0.21915	0.03463		205.29503	154.03674	1189.69410	-157.11023	85.59264	48.28961	0.46679	0.05113	-0.94577	0.32079	-0.05737	-0.32346	-0.94450	0.99704	0.02989	-0.07080	
189.77382	87.70198	952.98396	81.24689	77.09055	176.91306	0.61319	-0.22309	-0.95378	0.20134	-0.01203	-0.20384	-0.97893	0.97472	-0.22081	0.03400		205.27210	154.63098	1189.86112	-159.15891	85.62827	50.30754	0.50244	0.04868	-0.94570	0.32138	-0.05866	-0.32391	-0.94427	0.99709	0.02712	-0.07124	
189.35874	88.10821	953.22406	81.52744	77.05854	176.64227	0.63806	-0.22357	-0.95368	0.20128	-0.01312	-0.20354	-0.97898	0.97460	-0.22151	0.03300		205.19110	155.15421	1190.02210	-160.18089	85.59221	51.30133	0.49147	0.04805	-0.94557	0.32184	-0.05998	-0.32436	-0.94403	0.99704	0.02606	-0.07230	
189.02719	88.48357	953.41201	81.70044	76.95571	176.45033	0.64111	-0.22527	-0.95321	0.20162	-0.01397	-0.20376	-0.97892	0.97420	-0.22334	0.03258		205.08767	155.57287	1190.20794	-161.97998	85.60580	53.08747	0.49326	0.04602	-0.94558	0.32211	-0.06126	-0.32452	-0.94389	0.99706	0.02370	-0.07286	
188.71442	88.72518	953.56446	81.78371	76.83283	176.35228	0.63724	-0.22733	-0.95267	0.20184	-0.01449	-0.20393	-0.97888	0.97371	-0.22545	0.03255		204.96631	155.86502	1190.33188	-163.60066	85.63098	54.70308	0.48450	0.04402	-0.94563	0.32227	-0.06218	-0.32455	-0.94382	0.99709	0.02151	-0.07308	
188.45002	88.85062	953.73804	81.84555	76.73610	176.26768	0.64003	-0.22895	-0.95221	0.20220	-0.01494	-0.20426	-0.97880	0.97332	-0.22712	0.03254		204.92934	156.06364	1190.39098	-168.03453	85.72392	59.09129	0.48504	0.03830	-0.94554	0.32323	-0.06397	-0.32513	-0.94350	0.99722	0.01546	-0.07294	
188.23009	88.87214	953.90084	81.85118	76.61438	176.23314	0.62661	-0.23100	-0.95162	0.20263	-0.01521	-0.20471	-0.97871	0.97283	-0.22917	0.03281		204.81517	156.14372	1190.50409	-169.59958	85.76372	60.62363	0.49234	0.03624	-0.94541	0.32385	-0.06437	-0.32560	-0.94331	0.99727	0.01334	-0.07266	
188.06744	88.80596	954.08267	81.81056	76.53605	176.24072	0.63987	-0.23233	-0.95119	0.20313	-0.01527	-0.20525	-0.97859	0.97252	-0.23046	0.03317		204.68228	156.15409	1190.63697	-170.27487	85.77651	61.26717	0.49812	0.03540	-0.94525	0.32441	-0.06458	-0.32610	-0.94313	0.99728	0.01244	-0.07259	
187.98020	88.69933	954.21395	81.76212	76.45296	176.22305	0.61497	-0.23373	-0.95062	0.20419	-0.01543	-0.20635	-0.97836	0.97218	-0.23183	0.03356		204.53189	156.12853	1190.79442	-170.83932	85.78272	61.81969	0.48256	0.03473	-0.94520	0.32463	-0.06482	-0.32627	-0.94305	0.99729	0.01171	-0.07260	
187.87140	88.42503	954.38912	81.64619	76.36974	176.30688	0.60238	-0.23517	-0.95017	0.20463	-0.01518	-0.20692	-0.97824	0.97184	-0.23316	0.03424		204.39414	155.95298	1190.95416	-171.42116	85.81480	62.37066	0.46863	0.03384	-0.94505	0.32518	-0.06466	-0.32675	-0.94290	0.99733	0.01089	-0.07216	
